"","id","x","y","area","Nhat"
"1",100,3454047.036,-1549972.93,0.04,8.88178419700125e-18
"2",101,3453995.956,-1550125,0.04,8.88178419700125e-18
"3",102,3453989.599,-1550299.73,0.04,8.88178419700125e-18
"4",103,3454043.151,-1550497.37,0.04,8.88178419700125e-18
"5",104,3454059.733,-1550667.21,0.04,8.88178419700125e-18
"6",304,3454224.733,-1549743.86,0.04,8.88178419700125e-18
"7",305,3454177.576,-1549914.53,0.04,8.88178419700125e-18
"8",306,3454171.611,-1550109.3,0.04,8.88178419700125e-18
"9",307,3454171.611,-1550309.3,0.04,8.88178419700125e-18
"10",308,3454171.611,-1550509.3,0.04,8.88178419700125e-18
"11",309,3454171.786,-1550709.14,0.04,8.88178419700125e-18
"12",310,3454198.084,-1550876.46,0.04,8.88178419700125e-18
"13",507,3454456.508,-1549380.61,0.04,8.88178419700125e-18
"14",508,3454404.102,-1549530.61,0.04,8.88178419700125e-18
"15",509,3454371.653,-1549709.34,0.04,8.88178419700125e-18
"16",510,3454371.611,-1549909.3,0.04,8.88178419700125e-18
"17",511,3454371.611,-1550109.3,0.04,8.88178419700125e-18
"18",512,3454371.611,-1550309.3,0.04,8.88178419700125e-18
"19",513,3454371.611,-1550509.3,0.04,8.88178419700125e-18
"20",514,3454371.611,-1550709.3,0.04,8.88178419700125e-18
"21",515,3454371.621,-1550909.29,0.04,8.88178419700125e-18
"22",516,3454410.064,-1551086.63,0.04,8.88178419700125e-18
"23",517,3454438.37,-1551310.49,0.04,8.88178419700125e-18
"24",518,3454437.654,-1551459.12,0.04,8.88178419700125e-18
"25",710,3454658.056,-1548990.49,0.04,8.88178419700125e-18
"26",711,3454622.388,-1549128.19,0.04,8.88178419700125e-18
"27",712,3454579.08,-1549315.09,0.04,8.88178419700125e-18
"28",713,3454571.611,-1549509.3,0.04,8.88178419700125e-18
"29",714,3454571.611,-1549709.3,0.04,8.88178419700125e-18
"30",715,3454571.611,-1549909.3,0.04,8.88178419700125e-18
"31",716,3454571.611,-1550109.3,0.04,8.88178419700125e-18
"32",717,3454571.611,-1550309.3,0.04,8.88178419700125e-18
"33",718,3454571.611,-1550509.3,0.04,8.88178419700125e-18
"34",719,3454571.611,-1550709.3,0.04,8.88178419700125e-18
"35",720,3454571.611,-1550909.3,0.04,8.88178419700125e-18
"36",721,3454571.611,-1551109.3,0.04,8.88178419700125e-18
"37",722,3454571.611,-1551309.3,0.04,8.88178419700125e-18
"38",723,3454569.857,-1551442.46,0.04,8.88178419700125e-18
"39",914,3454842.427,-1548777.87,0.04,8.88178419700125e-18
"40",915,3454787.126,-1548922.05,0.04,8.88178419700125e-18
"41",916,3454771.611,-1549109.3,0.04,8.88178419700125e-18
"42",917,3454771.611,-1549309.3,0.04,8.88178419700125e-18
"43",918,3454771.611,-1549509.3,0.04,8.88178419700125e-18
"44",919,3454771.611,-1549709.3,0.04,8.88178419700125e-18
"45",920,3454771.611,-1549909.3,0.04,8.88178419700125e-18
"46",921,3454771.611,-1550109.3,0.04,8.88178419700125e-18
"47",922,3454771.611,-1550309.3,0.04,8.88178419700125e-18
"48",923,3454771.611,-1550509.3,0.04,8.88178419700125e-18
"49",924,3454771.611,-1550709.3,0.04,8.88178419700125e-18
"50",925,3454771.611,-1550909.3,0.04,8.88178419700125e-18
"51",926,3454771.611,-1551109.3,0.04,8.88178419700125e-18
"52",927,3454771.611,-1551309.3,0.04,8.88178419700125e-18
"53",928,3454783.691,-1551451.88,0.04,8.88178419700125e-18
"54",1118,3455038.438,-1548576.13,0.04,8.88178419700125e-18
"55",1119,3454981.662,-1548719.06,0.04,8.88178419700125e-18
"56",1120,3454971.611,-1548909.3,0.04,8.88178419700125e-18
"57",1121,3454971.611,-1549109.3,0.04,8.88178419700125e-18
"58",1122,3454971.611,-1549309.3,0.04,8.88178419700125e-18
"59",1123,3454971.611,-1549509.3,0.04,8.88178419700125e-18
"60",1124,3454971.611,-1549709.3,0.04,8.88178419700125e-18
"61",1125,3454971.611,-1549909.3,0.04,8.88178419700125e-18
"62",1126,3454971.611,-1550109.3,0.04,8.88178419700125e-18
"63",1127,3454971.611,-1550309.3,0.04,8.88178419700125e-18
"64",1128,3454971.611,-1550509.3,0.04,8.88178419700125e-18
"65",1129,3454971.611,-1550709.3,0.04,8.88178419700125e-18
"66",1130,3454971.611,-1550909.3,0.04,8.88178419700125e-18
"67",1131,3454971.611,-1551109.3,0.04,8.88178419700125e-18
"68",1132,3454971.611,-1551309.3,0.04,8.88178419700125e-18
"69",1133,3454975.673,-1551505.21,0.04,8.88178419700125e-18
"70",1134,3455026.451,-1551647.8,0.04,8.88178419700125e-18
"71",1322,3455242.584,-1548384.74,0.04,8.88178419700125e-18
"72",1323,3455181.559,-1548519.98,0.04,8.88178419700125e-18
"73",1324,3455171.611,-1548709.3,0.04,8.88178419700125e-18
"74",1325,3455171.611,-1548909.3,0.04,8.88178419700125e-18
"75",1326,3455171.611,-1549109.3,0.04,8.88178419700125e-18
"76",1327,3455171.611,-1549309.3,0.04,8.88178419700125e-18
"77",1328,3455171.611,-1549509.3,0.04,8.88178419700125e-18
"78",1329,3455171.611,-1549709.3,0.04,8.88178419700125e-18
"79",1330,3455171.611,-1549909.3,0.04,8.88178419700125e-18
"80",1331,3455171.611,-1550109.3,0.04,8.88178419700125e-18
"81",1332,3455171.611,-1550309.3,0.04,8.88178419700125e-18
"82",1333,3455171.611,-1550509.3,0.04,8.88178419700125e-18
"83",1334,3455171.611,-1550709.3,0.04,8.88178419700125e-18
"84",1335,3455171.611,-1550909.3,0.04,8.88178419700125e-18
"85",1336,3455171.611,-1551109.3,0.04,8.88178419700125e-18
"86",1337,3455171.611,-1551309.3,0.04,8.88178419700125e-18
"87",1338,3455171.611,-1551509.3,0.04,8.88178419700125e-18
"88",1339,3455170.906,-1551680.68,0.04,8.88178419700125e-18
"89",1526,3455461.604,-1548201.93,0.04,8.88178419700125e-18
"90",1527,3455387.347,-1548330.43,0.04,8.88178419700125e-18
"91",1528,3455371.611,-1548509.3,0.04,8.88178419700125e-18
"92",1529,3455371.611,-1548709.3,0.04,8.88178419700125e-18
"93",1530,3455371.611,-1548909.3,0.04,8.88178419700125e-18
"94",1531,3455371.611,-1549109.3,0.04,8.88178419700125e-18
