"","wkt_geom","id","left","top","right","bottom","x","y","area","Nhat"
"59","Point (3456871.61125410441309214 -1555809.30706091457977891)","786",3456671.6112541,-1555609.30706091,3457071.6112541,-1556009.30706091,3456871.611,-1555809.307,160000,14.7571538623033
"60","Point (3456871.61125410441309214 -1555409.30706091457977891)","785",3456671.6112541,-1555209.30706091,3457071.6112541,-1555609.30706091,3456871.611,-1555409.307,160000,13.7242672493084
"61","Point (3456871.61125410441309214 -1555009.30706091457977891)","784",3456671.6112541,-1554809.30706091,3457071.6112541,-1555209.30706091,3456871.611,-1555009.307,160000,13.1405557321608
"62","Point (3456871.61125410441309214 -1554609.30706091457977891)","783",3456671.6112541,-1554409.30706091,3457071.6112541,-1554809.30706091,3456871.611,-1554609.307,160000,12.8501230541715
"63","Point (3456871.61125410441309214 -1554209.30706091457977891)","782",3456671.6112541,-1554009.30706091,3457071.6112541,-1554409.30706091,3456871.611,-1554209.307,160000,12.7223508299507
"64","Point (3456871.61125410441309214 -1553809.30706091457977891)","781",3456671.6112541,-1553609.30706091,3457071.6112541,-1554009.30706091,3456871.611,-1553809.307,160000,12.5980159633729
"65","Point (3455271.61125410441309214 -1549009.30706091457977891)","357",3455071.6112541,-1548809.30706091,3455471.6112541,-1549209.30706091,3455271.611,-1549009.307,160000,2.19343376055818
"66","Point (3455277.37622448476031423 -1548615.23454465228132904)","356",3455071.6112541,-1548409.30706091,3455471.6112541,-1548809.30706091,3455277.376,-1548615.235,160000,1.67649956115237
"67","Point (3455373.97646418260410428 -1548334.43046927149407566)","355",3455071.6112541,-1548009.30706091,3455471.6112541,-1548409.30706091,3455373.976,-1548334.43,160000,1.3552277750668
"68","Point (3455026.45060825906693935 -1551647.80249429284594953)","261",3454671.6112541,-1551609.30706091,3455071.6112541,-1552009.30706091,3455026.451,-1551647.802,160000,19.5062640758101
"69","Point (3454890.67622141912579536 -1551381.90891904616728425)","260",3454671.6112541,-1551209.30706091,3455071.6112541,-1551609.30706091,3454890.676,-1551381.909,160000,18.1615659418243
"70","Point (3454871.61125410441309214 -1551009.30706091457977891)","259",3454671.6112541,-1550809.30706091,3455071.6112541,-1551209.30706091,3454871.611,-1551009.307,160000,14.4440854533868
"71","Point (3454871.61125410441309214 -1550609.30706091457977891)","258",3454671.6112541,-1550409.30706091,3455071.6112541,-1550809.30706091,3454871.611,-1550609.307,160000,10.7306158942047
"72","Point (3454871.61125410441309214 -1550209.30706091457977891)","257",3454671.6112541,-1550009.30706091,3455071.6112541,-1550409.30706091,3454871.611,-1550209.307,160000,7.74841035839413
"73","Point (3455813.37601369805634022 -1547966.39641405362635851)","457",3455471.6112541,-1547609.30706091,3455871.6112541,-1548009.30706091,3455813.376,-1547966.396,160000,0.927083976569419
"74","Point (3455179.86383588425815105 -1551677.16380435694009066)","364",3455071.6112541,-1551609.30706091,3455471.6112541,-1552009.30706091,3455179.864,-1551677.164,160000,18.2116799992499
"75","Point (3455265.59317958075553179 -1551402.25116453436203301)","363",3455071.6112541,-1551209.30706091,3455471.6112541,-1551609.30706091,3455265.593,-1551402.251,160000,14.8833202639421
"76","Point (3455271.61125410441309214 -1551009.30706091457977891)","362",3455071.6112541,-1550809.30706091,3455471.6112541,-1551209.30706091,3455271.611,-1551009.307,160000,11.3930027579774
"77","Point (3455271.61125410441309214 -1550609.30706091457977891)","361",3455071.6112541,-1550409.30706091,3455471.6112541,-1550809.30706091,3455271.611,-1550609.307,160000,8.37154276983815
"78","Point (3455271.61125410441309214 -1550209.30706091457977891)","360",3455071.6112541,-1550009.30706091,3455471.6112541,-1550409.30706091,3455271.611,-1550209.307,160000,5.98815111629959
"79","Point (3455271.61125410441309214 -1549809.30706091457977891)","359",3455071.6112541,-1549609.30706091,3455471.6112541,-1550009.30706091,3455271.611,-1549809.307,160000,4.22976918644992
"80","Point (3455271.61125410441309214 -1549409.30706091457977891)","358",3455071.6112541,-1549209.30706091,3455471.6112541,-1549609.30706091,3455271.611,-1549409.307,160000,3.0057864564232
"81","Point (3454471.63205966632813215 -1549809.32781120878644288)","153",3454271.6112541,-1549609.30706091,3454671.6112541,-1550009.30706091,3454471.632,-1549809.328,160000,7.17269279264553
"82","Point (3454533.17270312877371907 -1549442.35032904776744545)","152",3454271.6112541,-1549209.30706091,3454671.6112541,-1549609.30706091,3454533.173,-1549442.35,160000,5.10442055669645
"83","Point (3454624.5484281643293798 -1549119.84964611544273794)","151",3454271.6112541,-1548809.30706091,3454671.6112541,-1549209.30706091,3454624.548,-1549119.85,160000,3.72909378203989
"84","Point (3454198.08415569365024567 -1550876.46224101400002837)","53",3453871.6112541,-1550809.30706091,3454271.6112541,-1551209.30706091,3454198.084,-1550876.462,160000,19.0346528164948
"85","Point (3454153.09409702336415648 -1550598.0844247720669955)","52",3453871.6112541,-1550409.30706091,3454271.6112541,-1550809.30706091,3454153.094,-1550598.084,160000,16.0688687317244
"86","Point (3454094.87778483936563134 -1550212.90591397066600621)","51",3453871.6112541,-1550009.30706091,3454271.6112541,-1550409.30706091,3454094.878,-1550212.906,160000,12.4475431611873
"87","Point (3454179.86066900007426739 -1549876.00346018117852509)","50",3453871.6112541,-1549609.30706091,3454271.6112541,-1550009.30706091,3454179.861,-1549876.003,160000,9.09677606680104
"88","Point (3454871.61125410441309214 -1549809.30706091457977891)","256",3454671.6112541,-1549609.30706091,3455071.6112541,-1550009.30706091,3454871.611,-1549809.307,160000,5.5164952064682
"89","Point (3454871.61125410441309214 -1549409.30706091457977891)","255",3454671.6112541,-1549209.30706091,3455071.6112541,-1549609.30706091,3454871.611,-1549409.307,160000,3.94058298291306
"90","Point (3454880.05159988673403859 -1549017.16276792762801051)","254",3454671.6112541,-1548809.30706091,3455071.6112541,-1549209.30706091,3454880.052,-1549017.163,160000,2.884383071774
"91","Point (3454974.96831709146499634 -1548708.46154227596707642)","253",3454671.6112541,-1548409.30706091,3455071.6112541,-1548809.30706091,3454974.968,-1548708.462,160000,2.18225159779128
"92","Point (3454534.54015718121081591 -1551347.55632671806961298)","157",3454271.6112541,-1551209.30706091,3454671.6112541,-1551609.30706091,3454534.54,-1551347.556,160000,21.4956024262808
"93","Point (3454490.83957741502672434 -1550992.43100955127738416)","156",3454271.6112541,-1550809.30706091,3454671.6112541,-1551209.30706091,3454490.84,-1550992.431,160000,17.6663287464269
"94","Point (3454471.61125410441309214 -1550609.30706091457977891)","155",3454271.6112541,-1550409.30706091,3454671.6112541,-1550809.30706091,3454471.611,-1550609.307,160000,13.6034739715671
"95","Point (3454471.61125410441309214 -1550209.30706091457977891)","154",3454271.6112541,-1550009.30706091,3454671.6112541,-1550409.30706091,3454471.611,-1550209.307,160000,9.95406111586539
"96","Point (3456071.61125410441309214 -1550609.30706091457977891)","567",3455871.6112541,-1550409.30706091,3456271.6112541,-1550809.30706091,3456071.611,-1550609.307,160000,5.12089623394381
"97","Point (3456071.61125410441309214 -1550209.30706091457977891)","566",3455871.6112541,-1550009.30706091,3456271.6112541,-1550409.30706091,3456071.611,-1550209.307,160000,3.64104131012622
"98","Point (3456071.61125410441309214 -1549809.30706091457977891)","565",3455871.6112541,-1549609.30706091,3456271.6112541,-1550009.30706091,3456071.611,-1549809.307,160000,2.5747067524182
"99","Point (3456071.61125410441309214 -1549409.30706091457977891)","564",3455871.6112541,-1549209.30706091,3456271.6112541,-1549609.30706091,3456071.611,-1549409.307,160000,1.84538171323984
"100","Point (3456071.61125410441309214 -1549009.30706091457977891)","563",3455871.6112541,-1548809.30706091,3456271.6112541,-1549209.30706091,3456071.611,-1549009.307,160000,1.36682169173594
"101","Point (3456071.61125410441309214 -1548609.30706091457977891)","562",3455871.6112541,-1548409.30706091,3456271.6112541,-1548809.30706091,3456071.611,-1548609.307,160000,1.06583091672659
"102","Point (3456071.61125410441309214 -1548209.30706091457977891)","561",3455871.6112541,-1548009.30706091,3456271.6112541,-1548409.30706091,3456071.611,-1548209.307,160000,0.889667423024165
"103","Point (3456093.28091533062979579 -1547887.66346361953765154)","560",3455871.6112541,-1547609.30706091,3456271.6112541,-1548009.30706091,3456093.281,-1547887.663,160000,0.809549751962058
"104","Point (3456071.61125410441309214 -1553809.30706091457977891)","575",3455871.6112541,-1553609.30706091,3456271.6112541,-1554009.30706091,3456071.611,-1553809.307,160000,19.0356304919454
"105","Point (3456071.61125410441309214 -1553409.30706091457977891)","574",3455871.6112541,-1553209.30706091,3456271.6112541,-1553609.30706091,3456071.611,-1553409.307,160000,18.4537638061434
"106","Point (3456071.61125410441309214 -1553009.30706091457977891)","573",3455871.6112541,-1552809.30706091,3456271.6112541,-1553209.30706091,3456071.611,-1553009.307,160000,17.5424788264956
"107","Point (3456071.61125410441309214 -1552609.30706091457977891)","572",3455871.6112541,-1552409.30706091,3456271.6112541,-1552809.30706091,3456071.611,-1552609.307,160000,16.1211162438
"108","Point (3456071.61125410441309214 -1552209.30706091457977891)","571",3455871.6112541,-1552009.30706091,3456271.6112541,-1552409.30706091,3456071.611,-1552209.307,160000,14.1532913196003
"109","Point (3456071.61125410441309214 -1551809.30706091457977891)","570",3455871.6112541,-1551609.30706091,3456271.6112541,-1552009.30706091,3456071.611,-1551809.307,160000,11.7930261151681
"110","Point (3456071.61125410441309214 -1551409.30706091457977891)","569",3455871.6112541,-1551209.30706091,3456271.6112541,-1551609.30706091,3456071.611,-1551409.307,160000,9.32740450306495
"111","Point (3456071.61125410441309214 -1551009.30706091457977891)","568",3455871.6112541,-1550809.30706091,3456271.6112541,-1551209.30706091,3456071.611,-1551009.307,160000,7.03893352460859
"112","Point (3455671.61125410441309214 -1551009.30706091457977891)","465",3455471.6112541,-1550809.30706091,3455871.6112541,-1551209.30706091,3455671.611,-1551009.307,160000,8.93611736383793
"113","Point (3455671.61125410441309214 -1550609.30706091457977891)","464",3455471.6112541,-1550409.30706091,3455871.6112541,-1550809.30706091,3455671.611,-1550609.307,160000,6.52073116051665
"114","Point (3455671.61125410441309214 -1550209.30706091457977891)","463",3455471.6112541,-1550009.30706091,3455871.6112541,-1550409.30706091,3455671.611,-1550209.307,160000,4.63883013714177
"115","Point (3455671.61125410441309214 -1549809.30706091457977891)","462",3455471.6112541,-1549609.30706091,3455871.6112541,-1550009.30706091,3455671.611,-1549809.307,160000,3.26914389224951
"116","Point (3455671.61125410441309214 -1549409.30706091457977891)","461",3455471.6112541,-1549209.30706091,3455871.6112541,-1549609.30706091,3455671.611,-1549409.307,160000,2.32634949474667
"117","Point (3455671.61125410441309214 -1549009.30706091457977891)","460",3455471.6112541,-1548809.30706091,3455871.6112541,-1549209.30706091,3455671.611,-1549009.307,160000,1.70477665900587
"118","Point (3455671.61125410441309214 -1548609.30706091457977891)","459",3455471.6112541,-1548409.30706091,3455871.6112541,-1548809.30706091,3455671.611,-1548609.307,160000,1.31141681922185
"119","Point (3455689.89730964135378599 -1548230.0080154889728874)","458",3455471.6112541,-1548009.30706091,3455871.6112541,-1548409.30706091,3455689.897,-1548230.008,160000,1.07637946482131
"120","Point (3455816.24530605133622885 -1554060.93939073174260557)","473",3455471.6112541,-1554009.30706091,3455871.6112541,-1554409.30706091,3455816.245,-1554060.939,160000,22.4225253998161
"121","Point (3455794.83357809018343687 -1553826.83170080906711519)","472",3455471.6112541,-1553609.30706091,3455871.6112541,-1554009.30706091,3455794.834,-1553826.832,160000,22.3053483968719
"122","Point (3455847.51929500140249729 -1553416.38657605228945613)","471",3455471.6112541,-1553209.30706091,3455871.6112541,-1553609.30706091,3455847.519,-1553416.387,160000,20.8791099310357
"123","Point (3455784.45780091499909759 -1552975.37084688432514668)","470",3455471.6112541,-1552809.30706091,3455871.6112541,-1553209.30706091,3455784.458,-1552975.371,160000,20.3440371436121
"124","Point (3455762.16827335534617305 -1552623.54167858511209488)","469",3455471.6112541,-1552409.30706091,3455871.6112541,-1552809.30706091,3455762.168,-1552623.542,160000,19.0909711889679
"125","Point (3455774.7462131348438561 -1552179.42932458012364805)","468",3455471.6112541,-1552009.30706091,3455871.6112541,-1552409.30706091,3455774.746,-1552179.429,160000,16.4534022185896
"126","Point (3455723.00858307210728526 -1551816.78681413526646793)","467",3455471.6112541,-1551609.30706091,3455871.6112541,-1552009.30706091,3455723.009,-1551816.787,160000,14.4200910154025
"127","Point (3455675.9502898626960814 -1551403.98178599309176207)","466",3455471.6112541,-1551209.30706091,3455871.6112541,-1551609.30706091,3455675.95,-1551403.982,160000,11.7178788356073
"128","Point (3458871.61125410441309214 -1552209.30706091457977891)","1292",3458671.6112541,-1552009.30706091,3459071.6112541,-1552409.30706091,3458871.611,-1552209.307,160000,5.77001244339562
"129","Point (3458871.61125410441309214 -1551809.30706091457977891)","1291",3458671.6112541,-1551609.30706091,3459071.6112541,-1552009.30706091,3458871.611,-1551809.307,160000,4.83676191843393
"130","Point (3458871.61125410441309214 -1551409.30706091457977891)","1290",3458671.6112541,-1551209.30706091,3459071.6112541,-1551609.30706091,3458871.611,-1551409.307,160000,3.92482299288549
"131","Point (3458871.61125410441309214 -1551009.30706091457977891)","1289",3458671.6112541,-1550809.30706091,3459071.6112541,-1551209.30706091,3458871.611,-1551009.307,160000,3.10896308266637
"132","Point (3458871.61125410441309214 -1550609.30706091457977891)","1288",3458671.6112541,-1550409.30706091,3459071.6112541,-1550809.30706091,3458871.611,-1550609.307,160000,2.4345531681006
"133","Point (3458871.61125410441309214 -1550209.30706091457977891)","1287",3458671.6112541,-1550009.30706091,3459071.6112541,-1550409.30706091,3458871.611,-1550209.307,160000,1.91599092041354
"134","Point (3458871.61125410441309214 -1549809.30706091457977891)","1286",3458671.6112541,-1549609.30706091,3459071.6112541,-1550009.30706091,3458871.611,-1549809.307,160000,1.54503509989911
"135","Point (3458871.61125410441309214 -1549409.30706091457977891)","1285",3458671.6112541,-1549209.30706091,3459071.6112541,-1549609.30706091,3458871.611,-1549409.307,160000,1.3035191331668
"136","Point (3458871.61125410441309214 -1555409.30706091457977891)","1300",3458671.6112541,-1555209.30706091,3459071.6112541,-1555609.30706091,3458871.611,-1555409.307,160000,7.71090611065495
"137","Point (3458871.61125410441309214 -1555009.30706091457977891)","1299",3458671.6112541,-1554809.30706091,3459071.6112541,-1555209.30706091,3458871.611,-1555009.307,160000,7.85642449683666
"138","Point (3458871.61125410441309214 -1554609.30706091457977891)","1298",3458671.6112541,-1554409.30706091,3459071.6112541,-1554809.30706091,3458871.611,-1554609.307,160000,8.02481065787852
"139","Point (3458871.61125410441309214 -1554209.30706091457977891)","1297",3458671.6112541,-1554009.30706091,3459071.6112541,-1554409.30706091,3458871.611,-1554209.307,160000,8.12684314058325
"140","Point (3458871.61125410441309214 -1553809.30706091457977891)","1296",3458671.6112541,-1553609.30706091,3459071.6112541,-1554009.30706091,3458871.611,-1553809.307,160000,8.08139020772711
"141","Point (3458871.61125410441309214 -1553409.30706091457977891)","1295",3458671.6112541,-1553209.30706091,3459071.6112541,-1553609.30706091,3458871.611,-1553409.307,160000,7.82748693017521
"142","Point (3458871.61125410441309214 -1553009.30706091457977891)","1294",3458671.6112541,-1552809.30706091,3459071.6112541,-1553209.30706091,3458871.611,-1553009.307,160000,7.33880622033616
"143","Point (3458871.61125410441309214 -1552609.30706091457977891)","1293",3458671.6112541,-1552409.30706091,3459071.6112541,-1552809.30706091,3458871.611,-1552609.307,160000,6.63304334128805
"144","Point (3458471.61125410441309214 -1556609.30706091457977891)","1200",3458271.6112541,-1556409.30706091,3458671.6112541,-1556809.30706091,3458471.611,-1556609.307,160000,9.32177161427287
"145","Point (3458471.61125410441309214 -1556209.30706091457977891)","1199",3458271.6112541,-1556009.30706091,3458671.6112541,-1556409.30706091,3458471.611,-1556209.307,160000,8.5047966298332
"146","Point (3458471.61125410441309214 -1555809.30706091457977891)","1198",3458271.6112541,-1555609.30706091,3458671.6112541,-1556009.30706091,3458471.611,-1555809.307,160000,8.13327241467231
"147","Point (3458471.61125410441309214 -1555409.30706091457977891)","1197",3458271.6112541,-1555209.30706091,3458671.6112541,-1555609.30706091,3458471.611,-1555409.307,160000,8.04096788752312
"148","Point (3458471.61125410441309214 -1555009.30706091457977891)","1196",3458271.6112541,-1554809.30706091,3458671.6112541,-1555209.30706091,3458471.611,-1555009.307,160000,8.10883597187817
"149","Point (3458471.61125410441309214 -1554609.30706091457977891)","1195",3458271.6112541,-1554409.30706091,3458671.6112541,-1554809.30706091,3458471.611,-1554609.307,160000,8.23717956744392
"150","Point (3458471.61125410441309214 -1554209.30706091457977891)","1194",3458271.6112541,-1554009.30706091,3458671.6112541,-1554409.30706091,3458471.611,-1554209.307,160000,8.330940577893
"151","Point (3458471.61125410441309214 -1553809.30706091457977891)","1193",3458271.6112541,-1553609.30706091,3458671.6112541,-1554009.30706091,3458471.611,-1553809.307,160000,8.29955946903028
"152","Point (3458876.73208559257909656 -1549023.31475962162949145)","1284",3458671.6112541,-1548809.30706091,3459071.6112541,-1549209.30706091,3458876.732,-1549023.315,160000,1.17886239168657
"153","Point (3459060.94787395326420665 -1548805.17930085584521294)","1283",3458671.6112541,-1548409.30706091,3459071.6112541,-1548809.30706091,3459060.948,-1548805.179,160000,1.2229525673789
"154","Point (3458630.10972532024607062 -1558848.21474414994008839)","1206",3458271.6112541,-1558809.30706091,3458671.6112541,-1559209.30706091,3458630.11,-1558848.215,160000,29.3422621829238
