Transect.Label;Sample.Label;x;y
6;6-5;3462780,336;-1545141,580
6;6-6;3462408,250;-1545045,660
6;6-7;3462153,756;-1544753,860
6;6-8;3461813,501;-1544706,250
6;6-9;3461459,445;-1544731,010
6;6-10;3461085,662;-1544733,570
7;7-1;3460980,675;-1544720,570
7;7-2;3461208,362;-1544686,510
7;7-3;3461598,796;-1544744,520
7;7-4;3461937,287;-1544661,480
7;7-5;3462079,947;-1544342,010
7;7-6;3462358,573;-1544248,330
7;7-7;3462535,181;-1544469,990
7;7-8;3462674,392;-1544796,040
7;7-9;3462479,970;-1545074,932
7;7-10;3462195,667;-1544815,579
7;7-11;3462106,270;-1544985,193
7;7-12;3461960,741;-1545286,115
7;7-13;3461058,161;-1545819,507
7;7-14;3460867,765;-1546063,417
7;7-15;3460612,268;-1545955,652
7;7-16;3460594,640;-1545591,204
7;7-17;3460610,156;-1545315,443
7;7-18;3460534,740;-1545112,689
7;7-19;3459515,771;-1547052,526
7;7-20;3459716,544;-1547299,616
7;7-21;3460058,928;-1547412,693
7;7-22;3460248,976;-1547625,223
7;7-23;3460232,597;-1547988,610
7;7-24;3460056,972;-1548364,080
7;7-25;3460042,571;-1548783,237
7;7-26;3459785,405;-1549025,261
7;7-27;3459389,130;-1549069,018
7;7-28;3460194,454;-1545237,099
7;7-29;3459904,494;-1545234,941
8;8-1;3474901,990;-1546405,292
8;8-2;3474710,332;-1546746,791
8;8-3;3474478,525;-1547048,574
8;8-4;3474192,414;-1547280,805
8;8-5;3474003,413;-1547607,287
8;8-6;3473845,944;-1547909,704
8;8-7;3473721,589;-1548227,926
8;8-8;3473571,996;-1548526,181
8;8-9;3473244,355;-1548663,284
8;8-10;3473158,933;-1548970,281
8;8-11;3473372,769;-1549283,644
8;8-12;3473504,941;-1549578,557
8;8-13;3473698,964;-1549836,318
8;8-14;3473865,889;-1550088,975
8;8-15;3474232,347;-1550208,458
8;8-16;3474461,948;-1550521,953
8;8-17;3474263,624;-1550611,392
8;8-18;3473970,578;-1550534,440
8;8-19;3473706,926;-1550803,149
8;8-20;3473401,159;-1550846,450
8;8-21;3473133,595;-1550716,517
8;8-22;3472782,498;-1550548,359
8;8-23;3472393,461;-1550472,293
8;8-24;3472007,391;-1550401,098
8;8-25;3471632,109;-1550301,286
8;8-26;3471277,502;-1550194,852
8;8-27;3470889,848;-1550187,214
8;8-28;3470547,167;-1550044,878
8;8-29;3470209,260;-1549851,965
8;8-30;3470030,686;-1549513,691
8;8-31;3469815,924;-1549186,629
8;8-32;3469730,528;-1548836,479
8;8-33;3469631,878;-1548539,677
9;9-1;3469352,331;-1548578,380
9;9-2;3468974,880;-1548770,737
9;9-3;3468672,412;-1548856,091
9;9-4;3468366,511;-1549033,406
9;9-5;3468055,541;-1549158,470
9;9-6;3467728,352;-1549085,273
9;9-7;3467417,001;-1549233,454
9;9-8;3467203,565;-1549273,893
9;9-9;3466948,717;-1549474,949
9;9-10;3466662,975;-1549613,679
9;9-11;3466467,670;-1549805,017
9;9-12;3466230,049;-1550031,752
9;9-13;3465878,694;-1550112,123
9;9-14;3465561,793;-1550051,312
9;9-15;3465253,302;-1549977,601
9;9-16;3464950,327;-1549837,435
9;9-17;3464703,824;-1549928,147
9;9-18;3464455,159;-1550193,692
10;10-1;3464063,499;-1550355,024
10;10-2;3463740,953;-1550508,410
10;10-3;3463547,558;-1550328,228
10;10-4;3463423,165;-1550050,642
10;10-5;3463165,143;-1549794,384
10;10-6;3462857,091;-1549974,162
10;10-7;3462352,887;-1549824,305
10;10-8;3462292,442;-1549409,142
10;10-9;3462057,395;-1549100,104
10;10-10;3461774,093;-1548876,247
10;10-11;3461421,126;-1548692,438
10;10-12;3461100,896;-1548504,973
10;10-13;3461148,019;-1548315,166
10;10-14;3461438,560;-1548083,540
10;10-15;3461749,505;-1547884,109
10;10-16;3461905,952;-1547567,468
10;10-17;3462075,136;-1547276,673
10;10-18;3461845,669;-1547015,446
10;10-19;3461488,103;-1546958,581
10;10-20;3461282,727;-1546848,607
10;10-21;3461468,816;-1546529,203
10;10-22;3461683,323;-1546201,808
10;10-23;3461964,230;-1545921,772
10;10-24;3462279,728;-1545681,103
10;10-25;3462617,962;-1545472,597
10;10-26;3462846,559;-1545256,508
11;11-1;3459289,819;-1549201,695
11;11-2;3459387,042;-1549579,781
11;11-3;3459451,504;-1549960,064
11;11-4;3459646,327;-1550300,288
11;11-5;3459668,286;-1550590,987
11;11-6;3459750,038;-1550906,339
11;11-7;3459857,847;-1551262,754
11;11-8;3460161,379;-1551492,346
11;11-9;3460526,855;-1551503,032
11;11-10;3460870,032;-1551551,828
11;11-11;3461009,153;-1551851,289
11;11-12;3460995,489;-1552176,696
11;11-13;3461129,230;-1552507,842
11;11-14;3461225,160;-1552787,659
11;11-15;3461184,713;-1553153,820
11;11-16;3461032,601;-1553719,177
11;11-17;3461042,834;-1554058,142
11;11-18;3461022,776;-1554440,590
11;11-19;3460991,957;-1554809,864
11;11-20;3461003,230;-1555162,276
11;11-21;3461048,000;-1555447,283
11;11-22;3461036,437;-1555793,690
11;11-23;3461001,347;-1556122,750
11;11-24;3460763,427;-1556415,306
11;11-25;3460449,022;-1556544,265
11;11-26;3460090,894;-1556658,970
12;12-1;3460014,965;-1556923,607
